Korean,English
내가,I
그,that
난,I
내,my
안,not
수,number
이,this
네,yes
거야,Will
좀,A little
그래,okay
있어,I have
왜,why
더,more
그리고,and
우리,we
다,all
무슨,what
한,one
하지만,However
잘,well
어떻게,how
할,will do
그냥,just
정말,really
그럼,then
것,thing
게,crab
있어요,there is
있는,there is
해,sun
여기,here
넌,You
제가,I
날,me
우리가,U.S
건,case
전,I'm
이제,now
지금,now
그게,that is
걸,girl
거,thing
아니,no
네가,you
없어,no
돼,To be
저,I
우린,we
제,My
못,pond
좋아,great
당신이,you
다른,Different
나,me
그런,then
그건,that
너무,Too
그래서,therefore
그렇게,like that
다시,again
이건,This
이런,this
나도,me too
모든,every
당신,you
거예요,Will
당신은,you are
아,ah
좋은,good
오,Five
때,at the time
너,you
하는,doing
하고,do
아냐,Nope
나는,I
아니야,no
알아,know
같이,together
응,yes
이게,this
없어요,No
괜찮아,it's okay
오늘,today
말이야,Word
줄,line
또,In addition
널,you
누가,who
어떤,which
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,all
마,mind
같은,same
여기서,here
어서,hurry
그는,he
위해,for
해요,do
일이,Days
하지,summer solstice
엄마,Mom
바로,Right away
가,go
근데,by the way
알고,know
이렇게,like this
빨리,hurry
있습니다,there is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,To be
알았어,okay
않아,Not
제발,please
있지,In place
겁니다,It is
어디,where
사람이,People
그가,he
안녕,hi
좋아요,like
같아,same
우리는,we are
그래요,okay
당신을,you
자,ruler
그걸,That
두,two
아니에요,no
있을,Inquisition
때문에,Because
대해,about
아빠,Dad
몇,some
사람,Person
했어,I did it
뭐야,what
수도,capital
많이,A lot of
집에,at home
거지,the poor
일을,work
저는,I
음,Well
그렇지,right
함께,together
만약,what if
하나,one
저기,there
고마워요,thanks
항상,always
나한테,To me
잠깐,for a moment
가서,Go
가장,most
돼요,can
거죠,It is
가자,let's go
맞아,right
보고,report
와,Wow
그거,it
말을,Words
괜찮아요,it's okay
아무도,no one
없는,Do not have
안녕하세요,hello
몰라,I don't know
일,Work
많은,Many
당신의,Your
아무것도,nothing
그러니까,So
큰,big
알아요,I know
그의,His
뭐가,what
고마워,thank you
그만,stop
했어요,I did
젠장,shit
사람들이,People
거에요,It's
이걸,This
그럴,So
것도,Too
말이,Words
이미,already
야,hey
그를,Him
뭔가,Something
온,On
이봐,Hey
아니면,if not
같아요,same
그런데,By the way
아니라,not
세상에,Oh my gosh
있다고,That
있고,And
뭐라고,what
예,Yes
절대,never
말야,Ya
당장,right now
그래도,still
대한,About
말은,The words
거기,there
전부,all
둘,two
그녀는,She is
니가,You're
갈,conflict
않아요,No
자기,self
있죠,Is it
하면,if
가지고,with
그들이,they
참,Oh yeah
너도,you also
됐어,done
미안해,Sorry
것을,Thing
여긴,Here
아무,nothing
사람은,people
감사합니다,thank you
다들,everyone
어때,What do you think
씨,Seed
곧,soon
엄마가,Mom
나를,me
이젠,now
아마,maybe
그들은,they are
얘기,story
꼭,please
있잖아,Hey
저도,me too
지금은,Now is
그녀가,She
중,middle
있다,have
시간,hour
먼저,first
우릴,Korean
말고,not
사람을,People
수가,medical charge
봐요,Look
있는데,there is
알았어요,I see
해야,Sun
있었어,There was
우리의,Our
않을,Not to
방금,just now
완전,very
된,Led
동안,During
시간이,This time
싶어,want
본,copy
일은,Work
친구,friend
들어,listen
안에,in
번,th
자네,you
합니다,do
사실,actually
한번,once
대체,how
같은데,Like
생각해,think
맞아요,Right
볼,cheek
혼자,alone
자네가,You
절,I
그러니,so
선생님,Teacher
사람들은,People
문제가,The problem
다음,next
물론,of course
거의,almost
일이야,It's work
없습니다,There is not
아빠가,Dad
되는,felled
그러면,then
순,Order
가는,going
말도,Words
이리,Wolf
있었어요,There was
맙소사,Oh My God
내일,tomorrow
있으면,if there is
잠깐만,Wait a minute
싫어,no
중요한,important
내게,to me
말해,Say it
이상,More than
거라고,That it is
아는,know
너는,you
새,bird
적,enemy
전혀,Not at all
여자,Woman
새로운,new
너희,you
왔어,I'm here
아직도,Still
가지,Branch
나와,come out
알,egg
싶지,I want to
여기에,Here
원하는,want
돈,money
필요,need
도움이,help
그녀를,Her
몰라요,I don't know
작은,small
혹시,Perhaps
미안해요,Sorry
나쁜,Bad
죄송해요,I'm sorry
모르겠어,I don't know
가요,Go
알지,know
밖에,outside
직접,directly
있나,Is there?
니,you
해도,chart
하죠,Do it
했는데,I did it
필요해,I need
아니요,no
적이,Enemies
있나요,do you have
갖고,Have
돈을,money
주세요,please
어디서,where
것이,That
거요,Yes
위한,for
것은,What is
없이,without
나중에,later
아버지,father
나랑,with me
됐어요,That's Okay
마세요,do not
차,car
언제,when
그저,just
생각,think
했지,Did
봤어,saw
해서,So
시간을,Time
마지막,last
알겠어,Okay
왜냐면,because
위해서,for
엄청,very
알겠습니다,All right
오래,long time
기다려,wait
아닙니다,no
있는지,Whether it is
알겠어요,I know
제일,most
지난,past
그렇죠,Yes
죽은,dead
제대로,properly
아니지,No
있다면,if there is
보면,Look
우리를,Us
짓을,To do
남자,man
너가,you
있다는,That
누구,who
보여,see
왔어요,came
너한테,to you
여러분,everyone
완전히,completely
너의,your
것이다,will be
밤,night
소리,sound
없지,No
벌써,already
모르겠어요,I don't know
말이지,I mean
올,all
사람들을,People
처음,first
말이죠,Word
사람들,people
그녀의,her
멋진,Cool
왜요,why
정말로,really
이름은,name is
와서,come
대해서,about
여보,honey
조금,little
않았어,I did not
말이에요,I mean
이름이,The name
여보세요,hello
서로,each other
안돼요,No
죽을,dying
첫,First
매우,very
사랑해,I love you
오늘은,Today is
싶은,Desire
어디로,Where
단지,just
아닌,not
나가,get out
뿐이야,only
미안,sorry
확실히,exactly
싶어요,want
죄송합니다,sorry
때까지,until
없고,No
어때요,how about it
살,fat
당연히,of course
데리고,along
필요한,necessary
